exam_name,organization,year,tier,total_marks,General/UR,OBC,SC,ST,EWS,text
APPSC Group I,APPSC,2021,Final,1050,585.13,685.45,540.45,572.38,580.68,"APPSC Group I 2021
Final Qualifying Marks:
UR: 585.13 | OBC: 685.45 | SC: 540.45 | ST: 572.38 | EWS: 580.68
Total Marks: 1050"
APPSC Group I,APPSC,2022,Prelims,150,90.14,92.95,71.09,74.46,84.75,"APPSC Group I 2022
Prelims Qualifying Marks:
UR: 90.14 | OBC: 92.95 | SC: 71.09 | ST: 74.46 | EWS: 84.75
Total Marks: 150"
SBI PO,SBI,2022,Prelims,100,68.49,59.21,59.43,45.69,66.4,"The cutoff for SBI PO Prelims (2022) has been declared. General category cutoff is 68.49/100, OBC cutoff is 59.21/100, SC cutoff is 59.43/100, ST cutoff is 45.69/100."
APPSC Group I,APPSC,2022,Mains,900,529.09,551.1,476.73,444.08,521.19,"APPSC Group I 2022 Mains Cutoff Marks (Out of 900):
General: 529.09
OBC: 551.1
SC: 476.73
ST: 444.08
EWS: 521.19"
IBPS PO,IBPS,2026,Mains,225,118.51,127.64,87.01,87.28,115.52,"IBPS PO 2026
Mains Qualifying Marks:
UR: 118.51 | OBC: 127.64 | SC: 87.01 | ST: 87.28 | EWS: 115.52
Total Marks: 225"
RRB NTPC,RRB,2026,CBT-2,120,86.99,85.56,60.27,60.69,82.42,"RRB NTPC 2026 CBT-2 Cutoff Marks (Out of 120):
General: 86.99
OBC: 85.56
SC: 60.27
ST: 60.69
EWS: 82.42"
APPSC Group I,APPSC,2023,Final,1050,603.7,680.54,529.17,575.36,601.49,"The cutoff for APPSC Group I Final (2023) has been declared. General category cutoff is 603.7/1050, OBC cutoff is 680.54/1050, SC cutoff is 529.17/1050, ST cutoff is 575.36/1050."
SSC CGL,SSC,2026,Tier-II,400,335.0,272.71,240.23,201.63,332.09,"SSC CGL 2026
Tier-II Qualifying Marks:
UR: 335.0 | OBC: 272.71 | SC: 240.23 | ST: 201.63 | EWS: 332.09
Total Marks: 400"
SBI PO,SBI,2024,Prelims,100,76.05,73.69,46.32,44.89,71.55,"Category-wise Prelims cut-off marks for SBI PO 2024:
Unreserved: 76.05, Other Backward Classes: 73.69, Scheduled Caste: 46.32, Scheduled Tribe: 44.89. Maximum marks: 100."
RBI Grade B,RBI,2021,Phase-II,300,189.82,177.91,160.87,117.88,183.32,"RBI Grade B 2021 Phase-II Cutoff Marks (Out of 300):
General: 189.82
OBC: 177.91
SC: 160.87
ST: 117.88
EWS: 183.32"
RBI Grade B,RBI,2026,Phase-II,300,176.2,174.99,132.87,111.81,172.01,"RBI Grade B 2026 Phase-II Cutoff Marks (Out of 300):
General: 176.2
OBC: 174.99
SC: 132.87
ST: 111.81
EWS: 172.01"
IBPS PO,IBPS,2026,Mains,225,103.26,118.87,99.44,66.8,96.61,"The cutoff for IBPS PO Mains (2026) has been declared. General category cutoff is 103.26/225, OBC cutoff is 118.87/225, SC cutoff is 99.44/225, ST cutoff is 66.8/225."
SBI PO,SBI,2020,Mains,225,112.74,113.55,103.74,89.97,105.66,"The cutoff for SBI PO Mains (2020) has been declared. General category cutoff is 112.74/225, OBC cutoff is 113.55/225, SC cutoff is 103.74/225, ST cutoff is 89.97/225."
UPSC CSE,UPSC,2022,Final,2025,961.93,914.1,936.87,823.17,957.35,"Category-wise Final cut-off marks for UPSC CSE 2022:
Unreserved: 961.93, Other Backward Classes: 914.1, Scheduled Caste: 936.87, Scheduled Tribe: 823.17. Maximum marks: 2025."
RBI Grade B,RBI,2025,Phase-II,300,152.81,160.16,168.28,139.91,149.68,"RBI Grade B 2025
Phase-II Qualifying Marks:
UR: 152.81 | OBC: 160.16 | SC: 168.28 | ST: 139.91 | EWS: 149.68
Total Marks: 300"
TSPSC Group I,TSPSC,2021,Final,1050,661.97,571.8,483.08,549.88,657.87,"Category-wise Final cut-off marks for TSPSC Group I 2021:
Unreserved: 661.97, Other Backward Classes: 571.8, Scheduled Caste: 483.08, Scheduled Tribe: 549.88. Maximum marks: 1050."
APPSC Group I,APPSC,2023,Prelims,150,82.09,85.26,60.19,77.02,75.9,"APPSC Group I 2023
Prelims Qualifying Marks:
UR: 82.09 | OBC: 85.26 | SC: 60.19 | ST: 77.02 | EWS: 75.9
Total Marks: 150"
SSC CGL,SSC,2026,Tier-I,200,132.32,139.24,118.47,97.59,127.26,"The cutoff for SSC CGL Tier-I (2026) has been declared. General category cutoff is 132.32/200, OBC cutoff is 139.24/200, SC cutoff is 118.47/200, ST cutoff is 97.59/200."
IBPS PO,IBPS,2025,Mains,225,114.76,123.16,89.59,85.64,111.41,"Category-wise Mains cut-off marks for IBPS PO 2025:
Unreserved: 114.76, Other Backward Classes: 123.16, Scheduled Caste: 89.59, Scheduled Tribe: 85.64. Maximum marks: 225."
APPSC Group I,APPSC,2022,Final,1050,698.36,621.36,600.47,572.81,695.34,"Category-wise Final cut-off marks for APPSC Group I 2022:
Unreserved: 698.36, Other Backward Classes: 621.36, Scheduled Caste: 600.47, Scheduled Tribe: 572.81. Maximum marks: 1050."
RBI Grade B,RBI,2024,Phase-I,200,112.96,96.95,83.61,98.04,106.41,"The cutoff for RBI Grade B Phase-I (2024) has been declared. General category cutoff is 112.96/200, OBC cutoff is 96.95/200, SC cutoff is 83.61/200, ST cutoff is 98.04/200."
SBI PO,SBI,2020,Prelims,100,81.22,56.1,49.91,57.42,76.58,"Category-wise Prelims cut-off marks for SBI PO 2020:
Unreserved: 81.22, Other Backward Classes: 56.1, Scheduled Caste: 49.91, Scheduled Tribe: 57.42. Maximum marks: 100."
UPSC CSE,UPSC,2023,Prelims,200,105.02,101.02,88.55,71.97,101.92,"Category-wise Prelims cut-off marks for UPSC CSE 2023:
Unreserved: 105.02, Other Backward Classes: 101.02, Scheduled Caste: 88.55, Scheduled Tribe: 71.97. Maximum marks: 200."
SSC CGL,SSC,2020,Tier-II,400,305.66,320.7,279.59,252.4,301.51,"SSC CGL 2020
Tier-II Qualifying Marks:
UR: 305.66 | OBC: 320.7 | SC: 279.59 | ST: 252.4 | EWS: 301.51
Total Marks: 400"
RRB NTPC,RRB,2021,CBT-1,100,76.84,69.37,45.92,46.83,70.3,"Category-wise CBT-1 cut-off marks for RRB NTPC 2021:
Unreserved: 76.84, Other Backward Classes: 69.37, Scheduled Caste: 45.92, Scheduled Tribe: 46.83. Maximum marks: 100."
SBI PO,SBI,2025,Mains,225,124.48,101.4,101.72,94.47,120.9,"The cutoff for SBI PO Mains (2025) has been declared. General category cutoff is 124.48/225, OBC cutoff is 101.4/225, SC cutoff is 101.72/225, ST cutoff is 94.47/225."
SBI PO,SBI,2026,Mains,225,108.5,123.27,116.87,105.35,103.06,"The cutoff for SBI PO Mains (2026) has been declared. General category cutoff is 108.5/225, OBC cutoff is 123.27/225, SC cutoff is 116.87/225, ST cutoff is 105.35/225."
RRB NTPC,RRB,2024,CBT-1,100,61.27,69.85,48.03,40.5,59.11,"RRB NTPC 2024 CBT-1 Cutoff Marks (Out of 100):
General: 61.27
OBC: 69.85
SC: 48.03
ST: 40.5
EWS: 59.11"
IBPS PO,IBPS,2023,Prelims,100,56.36,54.67,57.65,51.5,53.13,"The cutoff for IBPS PO Prelims (2023) has been declared. General category cutoff is 56.36/100, OBC cutoff is 54.67/100, SC cutoff is 57.65/100, ST cutoff is 51.5/100."
RBI Grade B,RBI,2023,Phase-I,200,136.72,127.98,113.92,103.89,129.91,"RBI Grade B 2023 Phase-I Cutoff Marks (Out of 200):
General: 136.72
OBC: 127.98
SC: 113.92
ST: 103.89
EWS: 129.91"
UPSC CSE,UPSC,2023,Mains,1750,753.22,807.85,765.98,725.11,748.1,"Category-wise Mains cut-off marks for UPSC CSE 2023:
Unreserved: 753.22, Other Backward Classes: 807.85, Scheduled Caste: 765.98, Scheduled Tribe: 725.11. Maximum marks: 1750."
IBPS PO,IBPS,2023,Mains,225,102.34,119.98,113.39,99.87,100.01,"Category-wise Mains cut-off marks for IBPS PO 2023:
Unreserved: 102.34, Other Backward Classes: 119.98, Scheduled Caste: 113.39, Scheduled Tribe: 99.87. Maximum marks: 225."
IBPS PO,IBPS,2024,Prelims,100,59.04,56.58,55.68,38.2,51.55,"IBPS PO 2024
Prelims Qualifying Marks:
UR: 59.04 | OBC: 56.58 | SC: 55.68 | ST: 38.2 | EWS: 51.55
Total Marks: 100"
SBI PO,SBI,2021,Prelims,100,75.07,75.8,56.63,57.5,67.62,"Category-wise Prelims cut-off marks for SBI PO 2021:
Unreserved: 75.07, Other Backward Classes: 75.8, Scheduled Caste: 56.63, Scheduled Tribe: 57.5. Maximum marks: 100."
TSPSC Group I,TSPSC,2022,Prelims,150,87.33,86.38,69.47,55.19,84.67,"TSPSC Group I 2022 Prelims Cutoff Marks (Out of 150):
General: 87.33
OBC: 86.38
SC: 69.47
ST: 55.19
EWS: 84.67"
APPSC Group I,APPSC,2022,Final,1050,706.15,555.86,559.45,463.3,698.75,"APPSC Group I 2022 Final Cutoff Marks (Out of 1050):
General: 706.15
OBC: 555.86
SC: 559.45
ST: 463.3
EWS: 698.75"
UPSC CSE,UPSC,2020,Prelims,200,109.03,87.34,93.5,74.04,104.43,"UPSC CSE 2020
Prelims Qualifying Marks:
UR: 109.03 | OBC: 87.34 | SC: 93.5 | ST: 74.04 | EWS: 104.43
Total Marks: 200"
RRB NTPC,RRB,2024,CBT-1,100,78.2,59.01,55.21,57.23,75.11,"RRB NTPC 2024 CBT-1 Cutoff Marks (Out of 100):
General: 78.2
OBC: 59.01
SC: 55.21
ST: 57.23
EWS: 75.11"
RBI Grade B,RBI,2023,Phase-II,300,168.34,173.05,172.29,112.06,165.78,"RBI Grade B 2023
Phase-II Qualifying Marks:
UR: 168.34 | OBC: 173.05 | SC: 172.29 | ST: 112.06 | EWS: 165.78
Total Marks: 300"
IBPS PO,IBPS,2024,Prelims,100,61.81,58.95,56.51,43.52,56.55,"IBPS PO 2024
Prelims Qualifying Marks:
UR: 61.81 | OBC: 58.95 | SC: 56.51 | ST: 43.52 | EWS: 56.55
Total Marks: 100"
SBI PO,SBI,2020,Mains,225,105.12,106.34,92.65,105.4,102.71,"Category-wise Mains cut-off marks for SBI PO 2020:
Unreserved: 105.12, Other Backward Classes: 106.34, Scheduled Caste: 92.65, Scheduled Tribe: 105.4. Maximum marks: 225."
IBPS PO,IBPS,2020,Prelims,100,73.33,58.32,56.21,50.54,66.89,"Category-wise Prelims cut-off marks for IBPS PO 2020:
Unreserved: 73.33, Other Backward Classes: 58.32, Scheduled Caste: 56.21, Scheduled Tribe: 50.54. Maximum marks: 100."
SSC CGL,SSC,2026,Tier-I,200,167.7,123.79,128.62,112.12,160.95,"Category-wise Tier-I cut-off marks for SSC CGL 2026:
Unreserved: 167.7, Other Backward Classes: 123.79, Scheduled Caste: 128.62, Scheduled Tribe: 112.12. Maximum marks: 200."
RRB NTPC,RRB,2026,CBT-1,100,67.71,71.65,49.65,44.38,60.26,"Category-wise CBT-1 cut-off marks for RRB NTPC 2026:
Unreserved: 67.71, Other Backward Classes: 71.65, Scheduled Caste: 49.65, Scheduled Tribe: 44.38. Maximum marks: 100."
SBI PO,SBI,2024,Mains,225,119.27,113.71,99.32,76.34,112.48,"The cutoff for SBI PO Mains (2024) has been declared. General category cutoff is 119.27/225, OBC cutoff is 113.71/225, SC cutoff is 99.32/225, ST cutoff is 76.34/225."
IBPS PO,IBPS,2024,Mains,225,135.16,120.3,113.98,88.37,132.29,"IBPS PO 2024
Mains Qualifying Marks:
UR: 135.16 | OBC: 120.3 | SC: 113.98 | ST: 88.37 | EWS: 132.29
Total Marks: 225"
RBI Grade B,RBI,2024,Phase-II,300,174.92,140.95,169.98,124.99,168.94,"The cutoff for RBI Grade B Phase-II (2024) has been declared. General category cutoff is 174.92/300, OBC cutoff is 140.95/300, SC cutoff is 169.98/300, ST cutoff is 124.99/300."
TSPSC Group I,TSPSC,2026,Final,1050,664.45,641.56,501.44,533.02,656.71,"TSPSC Group I 2026 Final Cutoff Marks (Out of 1050):
General: 664.45
OBC: 641.56
SC: 501.44
ST: 533.02
EWS: 656.71"
RRB NTPC,RRB,2024,CBT-1,100,72.42,64.86,63.1,42.67,65.58,"RRB NTPC 2024
CBT-1 Qualifying Marks:
UR: 72.42 | OBC: 64.86 | SC: 63.1 | ST: 42.67 | EWS: 65.58
Total Marks: 100"
APPSC Group I,APPSC,2021,Mains,900,464.37,470.83,423.63,414.6,462.25,"Category-wise Mains cut-off marks for APPSC Group I 2021:
Unreserved: 464.37, Other Backward Classes: 470.83, Scheduled Caste: 423.63, Scheduled Tribe: 414.6. Maximum marks: 900."
SSC CGL,SSC,2026,Tier-II,400,334.54,311.24,231.32,205.59,327.95,"Category-wise Tier-II cut-off marks for SSC CGL 2026:
Unreserved: 334.54, Other Backward Classes: 311.24, Scheduled Caste: 231.32, Scheduled Tribe: 205.59. Maximum marks: 400."
RBI Grade B,RBI,2023,Phase-II,300,161.66,164.5,170.8,155.55,159.62,"The cutoff for RBI Grade B Phase-II (2023) has been declared. General category cutoff is 161.66/300, OBC cutoff is 164.5/300, SC cutoff is 170.8/300, ST cutoff is 155.55/300."
RBI Grade B,RBI,2024,Phase-I,200,107.4,104.54,86.19,97.38,102.48,"The cutoff for RBI Grade B Phase-I (2024) has been declared. General category cutoff is 107.4/200, OBC cutoff is 104.54/200, SC cutoff is 86.19/200, ST cutoff is 97.38/200."
TSPSC Group I,TSPSC,2022,Prelims,150,97.59,84.03,72.99,54.55,94.11,"TSPSC Group I 2022
Prelims Qualifying Marks:
UR: 97.59 | OBC: 84.03 | SC: 72.99 | ST: 54.55 | EWS: 94.11
Total Marks: 150"
APPSC Group I,APPSC,2023,Mains,900,481.49,445.39,464.91,432.4,477.43,"Category-wise Mains cut-off marks for APPSC Group I 2023:
Unreserved: 481.49, Other Backward Classes: 445.39, Scheduled Caste: 464.91, Scheduled Tribe: 432.4. Maximum marks: 900."
SSC CHSL,SSC,2026,Final,300,217.24,229.07,198.92,154.04,212.01,"SSC CHSL 2026
Final Qualifying Marks:
UR: 217.24 | OBC: 229.07 | SC: 198.92 | ST: 154.04 | EWS: 212.01
Total Marks: 300"
TSPSC Group I,TSPSC,2020,Mains,900,506.37,543.58,454.9,395.65,501.38,"Category-wise Mains cut-off marks for TSPSC Group I 2020:
Unreserved: 506.37, Other Backward Classes: 543.58, Scheduled Caste: 454.9, Scheduled Tribe: 395.65. Maximum marks: 900."
TSPSC Group I,TSPSC,2021,Final,1050,643.32,617.14,597.65,450.98,640.24,"TSPSC Group I 2021 Final Cutoff Marks (Out of 1050):
General: 643.32
OBC: 617.14
SC: 597.65
ST: 450.98
EWS: 640.24"
SBI PO,SBI,2024,Prelims,100,61.35,70.39,54.05,47.34,57.56,"SBI PO 2024 Prelims Cutoff Marks (Out of 100):
General: 61.35
OBC: 70.39
SC: 54.05
ST: 47.34
EWS: 57.56"
TSPSC Group I,TSPSC,2024,Prelims,150,83.84,92.35,69.23,59.41,77.55,"TSPSC Group I 2024 Prelims Cutoff Marks (Out of 150):
General: 83.84
OBC: 92.35
SC: 69.23
ST: 59.41
EWS: 77.55"
RRB NTPC,RRB,2024,CBT-1,100,73.21,73.55,47.39,47.7,68.79,"Category-wise CBT-1 cut-off marks for RRB NTPC 2024:
Unreserved: 73.21, Other Backward Classes: 73.55, Scheduled Caste: 47.39, Scheduled Tribe: 47.7. Maximum marks: 100."
SSC CHSL,SSC,2026,Tier-I,200,149.19,157.6,139.56,112.56,143.59,"The cutoff for SSC CHSL Tier-I (2026) has been declared. General category cutoff is 149.19/200, OBC cutoff is 157.6/200, SC cutoff is 139.56/200, ST cutoff is 112.56/200."
APPSC Group I,APPSC,2024,Final,1050,595.38,590.89,573.59,524.12,591.79,"APPSC Group I 2024 Final Cutoff Marks (Out of 1050):
General: 595.38
OBC: 590.89
SC: 573.59
ST: 524.12
EWS: 591.79"
IBPS PO,IBPS,2022,Mains,225,113.12,123.73,95.53,76.85,110.02,"Category-wise Mains cut-off marks for IBPS PO 2022:
Unreserved: 113.12, Other Backward Classes: 123.73, Scheduled Caste: 95.53, Scheduled Tribe: 76.85. Maximum marks: 225."
APPSC Group I,APPSC,2022,Final,1050,599.17,610.5,526.49,490.53,597.11,"APPSC Group I 2022
Final Qualifying Marks:
UR: 599.17 | OBC: 610.5 | SC: 526.49 | ST: 490.53 | EWS: 597.11
Total Marks: 1050"
IBPS PO,IBPS,2022,Prelims,100,66.9,56.22,40.65,53.4,64.3,"IBPS PO 2022
Prelims Qualifying Marks:
UR: 66.9 | OBC: 56.22 | SC: 40.65 | ST: 53.4 | EWS: 64.3
Total Marks: 100"
TSPSC Group I,TSPSC,2025,Final,1050,665.78,618.85,530.62,478.74,661.71,"The cutoff for TSPSC Group I Final (2025) has been declared. General category cutoff is 665.78/1050, OBC cutoff is 618.85/1050, SC cutoff is 530.62/1050, ST cutoff is 478.74/1050."
SSC CHSL,SSC,2026,Tier-I,200,170.62,132.07,129.68,121.99,166.78,"SSC CHSL 2026 Tier-I Cutoff Marks (Out of 200):
General: 170.62
OBC: 132.07
SC: 129.68
ST: 121.99
EWS: 166.78"
RBI Grade B,RBI,2021,Phase-II,300,201.94,173.54,127.86,121.95,197.13,"The cutoff for RBI Grade B Phase-II (2021) has been declared. General category cutoff is 201.94/300, OBC cutoff is 173.54/300, SC cutoff is 127.86/300, ST cutoff is 121.95/300."
SBI PO,SBI,2023,Mains,225,143.72,107.05,99.1,74.17,135.78,"Category-wise Mains cut-off marks for SBI PO 2023:
Unreserved: 143.72, Other Backward Classes: 107.05, Scheduled Caste: 99.1, Scheduled Tribe: 74.17. Maximum marks: 225."
SBI PO,SBI,2025,Prelims,100,60.7,59.51,60.69,46.05,57.18,"The cutoff for SBI PO Prelims (2025) has been declared. General category cutoff is 60.7/100, OBC cutoff is 59.51/100, SC cutoff is 60.69/100, ST cutoff is 46.05/100."
RRB NTPC,RRB,2022,CBT-2,120,75.78,85.4,74.3,55.05,72.94,"Category-wise CBT-2 cut-off marks for RRB NTPC 2022:
Unreserved: 75.78, Other Backward Classes: 85.4, Scheduled Caste: 74.3, Scheduled Tribe: 55.05. Maximum marks: 120."
APPSC Group I,APPSC,2023,Mains,900,569.49,521.72,441.59,458.41,565.79,"The cutoff for APPSC Group I Mains (2023) has been declared. General category cutoff is 569.49/900, OBC cutoff is 521.72/900, SC cutoff is 441.59/900, ST cutoff is 458.41/900."
UPSC CSE,UPSC,2021,Final,2025,909.45,982.76,945.29,874.85,907.34,"The cutoff for UPSC CSE Final (2021) has been declared. General category cutoff is 909.45/2025, OBC cutoff is 982.76/2025, SC cutoff is 945.29/2025, ST cutoff is 874.85/2025."
TSPSC Group I,TSPSC,2021,Final,1050,630.96,599.05,480.53,555.87,626.6,"TSPSC Group I 2021
Final Qualifying Marks:
UR: 630.96 | OBC: 599.05 | SC: 480.53 | ST: 555.87 | EWS: 626.6
Total Marks: 1050"
RBI Grade B,RBI,2023,Phase-II,300,158.14,161.97,135.28,124.83,153.27,"Category-wise Phase-II cut-off marks for RBI Grade B 2023:
Unreserved: 158.14, Other Backward Classes: 161.97, Scheduled Caste: 135.28, Scheduled Tribe: 124.83. Maximum marks: 300."
TSPSC Group I,TSPSC,2022,Mains,900,536.36,485.97,456.49,340.15,533.98,"TSPSC Group I 2022
Mains Qualifying Marks:
UR: 536.36 | OBC: 485.97 | SC: 456.49 | ST: 340.15 | EWS: 533.98
Total Marks: 900"
RRB NTPC,RRB,2024,CBT-1,100,60.87,67.55,52.91,50.82,55.38,"RRB NTPC 2024 CBT-1 Cutoff Marks (Out of 100):
General: 60.87
OBC: 67.55
SC: 52.91
ST: 50.82
EWS: 55.38"
APPSC Group I,APPSC,2022,Mains,900,547.01,492.59,500.1,361.16,539.25,"The cutoff for APPSC Group I Mains (2022) has been declared. General category cutoff is 547.01/900, OBC cutoff is 492.59/900, SC cutoff is 500.1/900, ST cutoff is 361.16/900."
SBI PO,SBI,2025,Prelims,100,77.34,73.76,46.56,56.05,69.66,"SBI PO 2025
Prelims Qualifying Marks:
UR: 77.34 | OBC: 73.76 | SC: 46.56 | ST: 56.05 | EWS: 69.66
Total Marks: 100"
SSC CHSL,SSC,2025,Final,300,234.92,187.52,187.11,137.43,229.81,"SSC CHSL 2025 Final Cutoff Marks (Out of 300):
General: 234.92
OBC: 187.52
SC: 187.11
ST: 137.43
EWS: 229.81"
RBI Grade B,RBI,2022,Phase-II,300,159.47,190.71,121.22,127.95,156.86,"RBI Grade B 2022 Phase-II Cutoff Marks (Out of 300):
General: 159.47
OBC: 190.71
SC: 121.22
ST: 127.95
EWS: 156.86"
IBPS PO,IBPS,2021,Mains,225,131.76,111.03,75.31,100.44,127.25,"Category-wise Mains cut-off marks for IBPS PO 2021:
Unreserved: 131.76, Other Backward Classes: 111.03, Scheduled Caste: 75.31, Scheduled Tribe: 100.44. Maximum marks: 225."
UPSC CSE,UPSC,2025,Mains,1750,787.36,802.8,731.33,688.35,784.0,"The cutoff for UPSC CSE Mains (2025) has been declared. General category cutoff is 787.36/1750, OBC cutoff is 802.8/1750, SC cutoff is 731.33/1750, ST cutoff is 688.35/1750."
SSC CGL,SSC,2026,Tier-II,400,356.62,288.82,238.51,255.64,350.51,"Category-wise Tier-II cut-off marks for SSC CGL 2026:
Unreserved: 356.62, Other Backward Classes: 288.82, Scheduled Caste: 238.51, Scheduled Tribe: 255.64. Maximum marks: 400."
IBPS PO,IBPS,2020,Mains,225,131.06,108.08,82.47,88.86,123.17,"IBPS PO 2020
Mains Qualifying Marks:
UR: 131.06 | OBC: 108.08 | SC: 82.47 | ST: 88.86 | EWS: 123.17
Total Marks: 225"
SSC CHSL,SSC,2025,Tier-I,200,161.72,163.44,129.11,105.27,153.97,"SSC CHSL 2025 Tier-I Cutoff Marks (Out of 200):
General: 161.72
OBC: 163.44
SC: 129.11
ST: 105.27
EWS: 153.97"
SBI PO,SBI,2026,Mains,225,122.31,98.75,110.24,98.6,119.71,"SBI PO 2026
Mains Qualifying Marks:
UR: 122.31 | OBC: 98.75 | SC: 110.24 | ST: 98.6 | EWS: 119.71
Total Marks: 225"
APPSC Group I,APPSC,2024,Prelims,150,81.36,86.69,77.75,76.49,75.44,"The cutoff for APPSC Group I Prelims (2024) has been declared. General category cutoff is 81.36/150, OBC cutoff is 86.69/150, SC cutoff is 77.75/150, ST cutoff is 76.49/150."
RRB NTPC,RRB,2026,CBT-1,100,66.27,67.65,59.19,56.15,59.05,"The cutoff for RRB NTPC CBT-1 (2026) has been declared. General category cutoff is 66.27/100, OBC cutoff is 67.65/100, SC cutoff is 59.19/100, ST cutoff is 56.15/100."
SSC CGL,SSC,2026,Tier-I,200,145.05,133.78,130.55,89.11,141.55,"SSC CGL 2026
Tier-I Qualifying Marks:
UR: 145.05 | OBC: 133.78 | SC: 130.55 | ST: 89.11 | EWS: 141.55
Total Marks: 200"
SSC CHSL,SSC,2020,Final,300,210.86,217.0,183.67,138.09,204.17,"The cutoff for SSC CHSL Final (2020) has been declared. General category cutoff is 210.86/300, OBC cutoff is 217.0/300, SC cutoff is 183.67/300, ST cutoff is 138.09/300."
APPSC Group I,APPSC,2021,Mains,900,569.5,551.61,451.39,409.47,562.58,"APPSC Group I 2021
Mains Qualifying Marks:
UR: 569.5 | OBC: 551.61 | SC: 451.39 | ST: 409.47 | EWS: 562.58
Total Marks: 900"
RBI Grade B,RBI,2026,Phase-II,300,155.84,165.34,152.49,122.89,149.86,"RBI Grade B 2026 Phase-II Cutoff Marks (Out of 300):
General: 155.84
OBC: 165.34
SC: 152.49
ST: 122.89
EWS: 149.86"
APPSC Group I,APPSC,2020,Mains,900,544.49,553.57,464.8,370.33,537.55,"APPSC Group I 2020
Mains Qualifying Marks:
UR: 544.49 | OBC: 553.57 | SC: 464.8 | ST: 370.33 | EWS: 537.55
Total Marks: 900"
UPSC CSE,UPSC,2021,Final,2025,1023.77,1012.06,893.35,855.01,1015.9,"The cutoff for UPSC CSE Final (2021) has been declared. General category cutoff is 1023.77/2025, OBC cutoff is 1012.06/2025, SC cutoff is 893.35/2025, ST cutoff is 855.01/2025."
UPSC CSE,UPSC,2021,Prelims,200,95.3,103.35,75.7,71.07,87.72,"The cutoff for UPSC CSE Prelims (2021) has been declared. General category cutoff is 95.3/200, OBC cutoff is 103.35/200, SC cutoff is 75.7/200, ST cutoff is 71.07/200."
SBI PO,SBI,2025,Prelims,100,78.71,64.89,52.42,50.41,72.38,"SBI PO 2025
Prelims Qualifying Marks:
UR: 78.71 | OBC: 64.89 | SC: 52.42 | ST: 50.41 | EWS: 72.38
Total Marks: 100"
UPSC CSE,UPSC,2020,Final,2025,1025.31,964.5,904.02,825.39,1022.24,"The cutoff for UPSC CSE Final (2020) has been declared. General category cutoff is 1025.31/2025, OBC cutoff is 964.5/2025, SC cutoff is 904.02/2025, ST cutoff is 825.39/2025."
APPSC Group I,APPSC,2021,Prelims,150,84.17,72.58,84.59,62.96,77.64,"The cutoff for APPSC Group I Prelims (2021) has been declared. General category cutoff is 84.17/150, OBC cutoff is 72.58/150, SC cutoff is 84.59/150, ST cutoff is 62.96/150."
TSPSC Group I,TSPSC,2024,Mains,900,460.46,495.69,466.76,350.77,452.77,"Category-wise Mains cut-off marks for TSPSC Group I 2024:
Unreserved: 460.46, Other Backward Classes: 495.69, Scheduled Caste: 466.76, Scheduled Tribe: 350.77. Maximum marks: 900."
UPSC CSE,UPSC,2025,Prelims,200,93.76,99.99,75.44,88.59,90.23,"The cutoff for UPSC CSE Prelims (2025) has been declared. General category cutoff is 93.76/200, OBC cutoff is 99.99/200, SC cutoff is 75.44/200, ST cutoff is 88.59/200."
SSC CGL,SSC,2022,Final,700,601.0,563.07,502.6,366.45,595.07,"Category-wise Final cut-off marks for SSC CGL 2022:
Unreserved: 601.0, Other Backward Classes: 563.07, Scheduled Caste: 502.6, Scheduled Tribe: 366.45. Maximum marks: 700."
TSPSC Group I,TSPSC,2022,Prelims,150,79.55,80.11,73.32,77.58,72.52,"The cutoff for TSPSC Group I Prelims (2022) has been declared. General category cutoff is 79.55/150, OBC cutoff is 80.11/150, SC cutoff is 73.32/150, ST cutoff is 77.58/150."
IBPS PO,IBPS,2023,Prelims,100,58.76,55.74,58.27,50.55,55.21,"The cutoff for IBPS PO Prelims (2023) has been declared. General category cutoff is 58.76/100, OBC cutoff is 55.74/100, SC cutoff is 58.27/100, ST cutoff is 50.55/100."
APPSC Group I,APPSC,2022,Mains,900,530.77,503.49,458.42,389.95,526.49,"APPSC Group I 2022
Mains Qualifying Marks:
UR: 530.77 | OBC: 503.49 | SC: 458.42 | ST: 389.95 | EWS: 526.49
Total Marks: 900"
RRB NTPC,RRB,2023,CBT-1,100,77.94,59.78,57.57,53.78,71.31,"RRB NTPC 2023 CBT-1 Cutoff Marks (Out of 100):
General: 77.94
OBC: 59.78
SC: 57.57
ST: 53.78
EWS: 71.31"
SBI PO,SBI,2020,Mains,225,138.28,114.63,116.12,109.17,133.73,"The cutoff for SBI PO Mains (2020) has been declared. General category cutoff is 138.28/225, OBC cutoff is 114.63/225, SC cutoff is 116.12/225, ST cutoff is 109.17/225."
RBI Grade B,RBI,2021,Phase-I,200,101.57,113.99,95.69,100.09,97.95,"The cutoff for RBI Grade B Phase-I (2021) has been declared. General category cutoff is 101.57/200, OBC cutoff is 113.99/200, SC cutoff is 95.69/200, ST cutoff is 100.09/200."
UPSC CSE,UPSC,2025,Mains,1750,783.25,799.26,741.99,714.78,780.17,"UPSC CSE 2025 Mains Cutoff Marks (Out of 1750):
General: 783.25
OBC: 799.26
SC: 741.99
ST: 714.78
EWS: 780.17"
