text,entities_extracted,organization,exam_name,vacancies
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 3/2024

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Lower Division Clerk (LDC).

Total Vacancies: 1 posts
Educational Qualification: MBA/PGDM from recognized institute
Age: 19.5-25 years as on 01/07/2024
Fee: ₹200
Pay Scale: Level-5: ₹29,200-92,300
Registration Start: 14-04-2026
Last Date to Apply: 2nd March 2026
Preliminary Exam Date: 23-10-2027
Experience: 2 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Lower Division Clerk (LDC); VACANCY_COUNT:1; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-5: ₹29,200-92,300; START_DATE:14-04-2026; LAST_DATE:2nd March 2026; EXAM_DATE:23-10-2027; EXPERIENCE:2 years of experience in relevant field",TSPSC,NTPC Executive Trainee through GATE 2026,1
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Employees Provident Fund Organisation (EPFO)

Post: Junior Analyst
Number of Posts: 5000 nos.
Qualification: Post Graduate Degree in relevant subject with UGC NET
Age: Not exceeding 18-27 years
Consolidated Pay: ₹35,000-₹40,000 per month
No application fee required.
Registration Date: 19-08-2026
Walk-in Date: 9nd April 2026
Experience: Freshers eligible","ORGANIZATION:EPFO; POST_NAME:Junior Analyst; VACANCY_COUNT:5000; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:18-27 years; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:19-08-2026; LAST_DATE:9nd April 2026; EXPERIENCE:Freshers eligible",EPFO,KVS PGT/TGT/PRT Recruitment 2026,5000
"The STPI invites online applications from eligible candidates for direct recruitment to 30 posts of Fitter in Software Technology Parks of India. Candidates should possess B.E./B.Tech in any engineering discipline with valid GATE score. The age of the candidate should be between 23-35 years. Application fee is ₹1000. The pay scale for the post is Level-5: ₹29,200-92,300. Interested candidates may apply online from 23/10/2026 to 02.09.2027. The computer based test is tentatively scheduled on 13.02.2027. Required experience: 3 years of experience in relevant field.","ORGANIZATION:STPI; VACANCY_COUNT:30; POST_NAME:Fitter; QUALIFICATION:B.E./B.Tech in any engineering discipline with valid GATE score; AGE_LIMIT:23-35 years; APPLICATION_FEE:₹1000; PAY_SCALE:Level-5: ₹29,200-92,300; START_DATE:23/10/2026; LAST_DATE:02.09.2027; EXAM_DATE:13.02.2027; EXPERIENCE:3 years of experience in relevant field",STPI,IOCL Engineers/Officers through GATE 2026,30
"Notification: SBI Specialist Officer (IT) Recruitment 2026
Issued by: Airports Authority of India
Total posts to be filled: 15
Post name: Group-I Officer
Required qualification: M.Tech in Computer Science/Information Technology
Age criteria: 18-30 years
Exam fee: Nil
Pay after selection: Level-8: ₹47,600-1,51,100
Important dates - 
  Apply from: 10th December 2026
  Apply till: 12 November, 2027
  Exam on: 23 May 2026
Experience criteria: Freshers eligible","VACANCY_COUNT:15; POST_NAME:Group-I Officer; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:18-30 years; APPLICATION_FEE:Nil; PAY_SCALE:Level-8: ₹47,600-1,51,100; START_DATE:10th December 2026; LAST_DATE:12 November, 2027; EXAM_DATE:23 May 2026; EXPERIENCE:Freshers eligible",AAI,SBI Specialist Officer (IT) Recruitment 2026,15
"Defence Research & Development Organisation
RECRUITMENT OF JUNIOR ENGINEER (CIVIL/MECHANICAL/ELECTRICAL/IT) - 2024

DRDO invites applications from eligible Indian Citizens for appointment of Junior Engineer (Civil/Mechanical/Electrical/IT) in various branches/offices across India.

Vacancies: 25 (including backlog)
Category-wise: UR-10, OBC-6, SC-3, ST-2, EWS-2

Eligibility: Ph.D. in relevant discipline
Age on cutoff date: 19.5-25 years
Fee: ₹750 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Level-12: ₹78,800-2,09,200 approximately
Online application: 23 May, 2026 to 08-06-2027
Online exam: 15.11.2026
Experience: 5 years of experience in relevant field","ORGANIZATION:DRDO; POST_NAME:Junior Engineer (Civil/Mechanical/Electrical/IT); VACANCY_COUNT:25; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹750; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:23 May, 2026; LAST_DATE:08-06-2027; EXAM_DATE:15.11.2026; EXPERIENCE:5 years of experience in relevant field",DRDO,HAL Management Trainee Recruitment 2026,25
"Notification: IBPS RRB Officer Scale-I Recruitment 2026
Issued by: National Thermal Power Corporation
Total posts to be filled: 3
Post name: Junior Accountant
Required qualification: MBA/PGDM from recognized institute
Age criteria: 18-25 years
Exam fee: ₹1500
Pay after selection: Level-3: ₹21,700-69,100
Important dates - 
  Apply from: 24-May-2026
  Apply till: 10/04/2027
  Exam on: 4 January, 2026
Experience criteria: 1 years of experience in relevant field","VACANCY_COUNT:3; POST_NAME:Junior Accountant; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹1500; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:24-May-2026; LAST_DATE:10/04/2027; EXAM_DATE:4 January, 2026; EXPERIENCE:1 years of experience in relevant field",NTPC,IBPS RRB Officer Scale-I Recruitment 2026,3
"Employees Provident Fund Organisation (EPFO) has released notification for APPSC Group-II Services Recruitment 2026. Total number of vacancies: 10000 posts for the post of Technical Officer. Educational Qualification: Post Graduate Degree in relevant subject with UGC NET. Age Limit: 18-25 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹250 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-10: ₹56,100-1,77,500. Application Start Date: 15 March 2026. Last Date to Apply: 10.07.2027. Date of Examination: 08 June 2027. Experience: 2 years of experience in relevant field.","ORGANIZATION:EPFO; VACANCY_COUNT:10000; POST_NAME:Technical Officer; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:15 March 2026; LAST_DATE:10.07.2027; EXAM_DATE:08 June 2027; EXPERIENCE:2 years of experience in relevant field",EPFO,APPSC Group-II Services Recruitment 2026,10000
"NABARD Recruitment 2026 - Forest Range Officer

The National Bank for Agriculture & Rural Development has announced 150 vacancies.
Eligible candidates having Graduate with minimum 60% marks from recognized university can apply.
Candidates age should not exceed 17.5-21 years.
Pay: Level-13: ₹1,23,100-2,15,900
Fee: ₹200
Apply from: 5 June, 2026
Apply before: 14 July, 2027
Exam: 24.05.2027
Experience required: 2 years of experience in relevant field","ORGANIZATION:NABARD; POST_NAME:Forest Range Officer; VACANCY_COUNT:150; QUALIFICATION:Graduate with minimum 60% marks from recognized university; AGE_LIMIT:17.5-21 years; PAY_SCALE:Level-13: ₹1,23,100-2,15,900; APPLICATION_FEE:₹200; START_DATE:5 June, 2026; LAST_DATE:14 July, 2027; EXAM_DATE:24.05.2027; EXPERIENCE:2 years of experience in relevant field",NABARD,Indian Navy Agniveer SSR/MR 2026,150
"Institute of Banking Personnel Selection
RECRUITMENT OF ASSISTANT - 2026

IBPS invites applications from eligible Indian Citizens for appointment of Assistant in various branches/offices across India.

Vacancies: 20 (including backlog)
Category-wise: UR-8, OBC-5, SC-3, ST-1, EWS-2

Eligibility: B.Ed. with B.Sc. in relevant subject
Age on cutoff date: 18-25 years
Fee: ₹750 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: ₹25,000 consolidated per month approximately
Online application: 19-09-2026 to 7-Oct-2027
Online exam: 19.12.2027
Experience: 3 years of experience in relevant field","VACANCY_COUNT:20; ORGANIZATION:IBPS; POST_NAME:Assistant; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹750; PAY_SCALE:₹25,000 consolidated per month; START_DATE:19-09-2026; LAST_DATE:7-Oct-2027; EXAM_DATE:19.12.2027; EXPERIENCE:3 years of experience in relevant field",IBPS,NABARD Grade A & B Officer Recruitment 2026,20
"Notification: DRDO CEPTAM Recruitment 2026
Issued by: Andhra Pradesh Public Service Commission
Total posts to be filled: 20
Post name: Section Officer
Required qualification: Bachelor Degree in any discipline from recognized university
Age criteria: 17.5-21 years
Exam fee: ₹1000
Pay after selection: Level-10: ₹56,100-1,77,500
Important dates - 
  Apply from: 3-Jun-2026
  Apply till: 8 May, 2026
  Exam on: 9st June 2027
Experience criteria: 3 years of experience in relevant field","VACANCY_COUNT:20; POST_NAME:Section Officer; QUALIFICATION:Bachelor Degree in any discipline from recognized university; AGE_LIMIT:17.5-21 years; APPLICATION_FEE:₹1000; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:3-Jun-2026; LAST_DATE:8 May, 2026; EXAM_DATE:9st June 2027; EXPERIENCE:3 years of experience in relevant field",APPSC,DRDO CEPTAM Recruitment 2026,20
"The ECIL invites online applications from eligible candidates for direct recruitment to 75 posts of Graduate Engineer Trainee (GET) in Electronics Corporation of India Limited. Candidates should possess M.Tech in Computer Science/Information Technology. The age of the candidate should be between 21-32 years. Application fee is ₹750. The pay scale for the post is ₹30,000 consolidated per month. Interested candidates may apply online from 8-Jun-2026 to 1nd May 2026. The computer based test is tentatively scheduled on 13-01-2026. Required experience: 3 years of experience in relevant field.","ORGANIZATION:ECIL; VACANCY_COUNT:75; POST_NAME:Graduate Engineer Trainee (GET); QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:21-32 years; APPLICATION_FEE:₹750; PAY_SCALE:₹30,000 consolidated per month; START_DATE:8-Jun-2026; LAST_DATE:1nd May 2026; EXAM_DATE:13-01-2026; EXPERIENCE:3 years of experience in relevant field",ECIL,NIC Scientist B Recruitment 2026,75
"Kendriya Vidyalaya Sangathan (KVS) has released notification for Junior Engineer (JE) Recruitment 2026. Total number of vacancies: 500 posts for the post of Multi Tasking Staff (MTS). Educational Qualification: 10+2 pass with Science stream from recognized board. Age Limit: 18-25 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹200 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-5: ₹29,200-92,300. Application Start Date: 16 October, 2026. Last Date to Apply: 7rd April 2026. Date of Examination: 03/03/2027. Experience: Freshers eligible.","ORGANIZATION:KVS; VACANCY_COUNT:500; POST_NAME:Multi Tasking Staff (MTS); QUALIFICATION:10+2 pass with Science stream from recognized board; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-5: ₹29,200-92,300; START_DATE:16 October, 2026; LAST_DATE:7rd April 2026; EXAM_DATE:03/03/2027; EXPERIENCE:Freshers eligible",KVS,Junior Engineer (JE) Recruitment 2026,500
"RECRUITMENT NOTIFICATION
Advertisement No. 3/2026
Organization: Kendriya Vidyalaya Sangathan
Name of Post: Software Developer
No. of Vacancies: 10000
Qualification Required: Post Graduate Degree in relevant subject with UGC NET
Maximum Age: 19.5-25 years
Fee: ₹100
Salary/Pay: Level-10: ₹56,100-1,77,500
Opening Date: 13.05.2026
Closing Date: 12 September 2026
Exam Date: 14 September 2027
Work Experience: 5 years of experience in relevant field","POST_NAME:Software Developer; VACANCY_COUNT:10000; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:13.05.2026; LAST_DATE:12 September 2026; EXAM_DATE:14 September 2027; EXPERIENCE:5 years of experience in relevant field",KVS,IOCL Engineers/Officers through GATE 2026,10000
"Notification: CDAC Research Engineer Walk-in 2026
Issued by: Bharat Electronics Limited
Total posts to be filled: 15
Post name: Junior Analyst
Required qualification: B.Tech/B.E. in Computer Science/IT/Electronics from recognized university
Age criteria: 21-32 years
Exam fee: ₹1500
Pay after selection: Level-6: ₹35,400-1,12,400
Important dates - 
  Apply from: 25/06/2026
  Apply till: 18.03.2027
  Exam on: 21 April 2026
Experience criteria: Freshers can apply","VACANCY_COUNT:15; POST_NAME:Junior Analyst; QUALIFICATION:B.Tech/B.E. in Computer Science/IT/Electronics from recognized university; AGE_LIMIT:21-32 years; APPLICATION_FEE:₹1500; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:25/06/2026; LAST_DATE:18.03.2027; EXAM_DATE:21 April 2026; EXPERIENCE:Freshers can apply",BEL,CDAC Research Engineer Walk-in 2026,15
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Railway Recruitment Boards (RRB)

Post: Data Entry Operator
Number of Posts: 300 nos.
Qualification: ITI in relevant trade with NCVT certificate
Age: Not exceeding 19.5-25 years
Consolidated Pay: Level-12: ₹78,800-2,09,200
No application fee required.
Registration Date: 6th September 2026
Walk-in Date: 20 August 2026
Experience: 1 years of experience in relevant field","ORGANIZATION:RRB; POST_NAME:Data Entry Operator; VACANCY_COUNT:300; QUALIFICATION:ITI in relevant trade with NCVT certificate; AGE_LIMIT:19.5-25 years; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:6th September 2026; LAST_DATE:20 August 2026; EXPERIENCE:1 years of experience in relevant field",RRB,SEBI Grade A Officer Recruitment 2026,300
"DMRC Recruitment 2026 - Junior Analyst

The Delhi Metro Rail Corporation has announced 750 vacancies.
Eligible candidates having B.Ed. with B.Sc. in relevant subject can apply.
Candidates age should not exceed 17.5-21 years.
Pay: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
Fee: Nil
Apply from: 5 May, 2026
Apply before: 08 July 2026
Exam: 20-Jan-2027
Experience required: 5 years of experience in relevant field","ORGANIZATION:DMRC; POST_NAME:Junior Analyst; VACANCY_COUNT:750; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:17.5-21 years; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; APPLICATION_FEE:Nil; START_DATE:5 May, 2026; LAST_DATE:08 July 2026; EXAM_DATE:20-Jan-2027; EXPERIENCE:5 years of experience in relevant field",DMRC,DRDO CEPTAM Recruitment 2026,750
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Software Technology Parks of India (STPI)

Post: Upper Division Clerk (UDC)
Number of Posts: 250 nos.
Qualification: B.Sc. Nursing from recognized institute
Age: Not exceeding 19.5-25 years
Consolidated Pay: Level-10: ₹56,100-1,77,500
No application fee required.
Registration Date: 21/10/2026
Walk-in Date: 09 March 2026
Experience: 5 years of experience in relevant field","ORGANIZATION:STPI; POST_NAME:Upper Division Clerk (UDC); VACANCY_COUNT:250; QUALIFICATION:B.Sc. Nursing from recognized institute; AGE_LIMIT:19.5-25 years; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:21/10/2026; LAST_DATE:09 March 2026; EXPERIENCE:5 years of experience in relevant field",STPI,NIELIT Scientist B Recruitment 2026,250
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Food Corporation of India (FCI)

Post: Junior Resident
Number of Posts: 250 nos.
Qualification: B.E./B.Tech in any engineering discipline with valid GATE score
Age: Not exceeding 19.5-25 years
Consolidated Pay: Level-1: ₹18,000-56,900
No application fee required.
Registration Date: 24.07.2026
Walk-in Date: 15.07.2027
Experience: 1 years of experience in relevant field","ORGANIZATION:FCI; POST_NAME:Junior Resident; VACANCY_COUNT:250; QUALIFICATION:B.E./B.Tech in any engineering discipline with valid GATE score; AGE_LIMIT:19.5-25 years; PAY_SCALE:Level-1: ₹18,000-56,900; START_DATE:24.07.2026; LAST_DATE:15.07.2027; EXPERIENCE:1 years of experience in relevant field",FCI,RBI Grade B Officer Recruitment 2026,250
"Navodaya Vidyalaya Samiti (NVS) has released notification for BEL Project Engineer Recruitment 2026. Total number of vacancies: 15 posts for the post of Scientist C. Educational Qualification: MBBS from recognized medical college. Age Limit: 20-28 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹100 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-3: ₹21,700-69,100. Application Start Date: 18-Dec-2026. Last Date to Apply: 15/08/2026. Date of Examination: 9-Oct-2027. Experience: 2 years of experience in relevant field.","ORGANIZATION:NVS; VACANCY_COUNT:15; POST_NAME:Scientist C; QUALIFICATION:MBBS from recognized medical college; AGE_LIMIT:20-28 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:18-Dec-2026; LAST_DATE:15/08/2026; EXAM_DATE:9-Oct-2027; EXPERIENCE:2 years of experience in relevant field",NVS,BEL Project Engineer Recruitment 2026,15
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 26/2025

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Multi Tasking Staff (MTS).

Total Vacancies: 10000 posts
Educational Qualification: B.Ed. with B.Sc. in relevant subject
Age: 18-30 years as on 01/07/2024
Fee: ₹250
Pay Scale: Level-4: ₹25,500-81,100
Registration Start: 09/06/2026
Last Date to Apply: 18/10/2026
Preliminary Exam Date: 07/05/2026
Experience: 1 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Multi Tasking Staff (MTS); VACANCY_COUNT:10000; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:18-30 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-4: ₹25,500-81,100; START_DATE:09/06/2026; LAST_DATE:18/10/2026; EXAM_DATE:07/05/2026; EXPERIENCE:1 years of experience in relevant field",TSPSC,AAI Junior Executive Recruitment 2026,10000
"The AIIMS invites online applications from eligible candidates for direct recruitment to 50 posts of Degree College Lecturer in All India Institute of Medical Sciences. Candidates should possess Matriculation (10th pass) from recognized board. The age of the candidate should be between 19.5-25 years. Application fee is ₹750. The pay scale for the post is Level-6: ₹35,400-1,12,400. Interested candidates may apply online from 22/05/2026 to 10.02.2026. The computer based test is tentatively scheduled on 20 January, 2026. Required experience: 2 years of experience in relevant field.","ORGANIZATION:AIIMS; VACANCY_COUNT:50; POST_NAME:Degree College Lecturer; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹750; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:22/05/2026; LAST_DATE:10.02.2026; EXAM_DATE:20 January, 2026; EXPERIENCE:2 years of experience in relevant field",AIIMS,ONGC Graduate Trainee through GATE 2026,50
"Staff Selection Commission
RECRUITMENT OF LOWER DIVISION CLERK (LDC) - 2025

SSC invites applications from eligible Indian Citizens for appointment of Lower Division Clerk (LDC) in various branches/offices across India.

Vacancies: 20 (including backlog)
Category-wise: UR-8, OBC-5, SC-3, ST-1, EWS-2

Eligibility: M.Sc. in relevant subject with NET/SLET qualification
Age on cutoff date: 18-35 years
Fee: ₹2000 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: ₹25,000 consolidated per month approximately
Online application: 3-Aug-2026 to 19 November 2026
Online exam: 14 April, 2027
Experience: 3 years of experience in relevant field","VACANCY_COUNT:20; ORGANIZATION:SSC; POST_NAME:Lower Division Clerk (LDC); QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:18-35 years; APPLICATION_FEE:₹2000; PAY_SCALE:₹25,000 consolidated per month; START_DATE:3-Aug-2026; LAST_DATE:19 November 2026; EXAM_DATE:14 April, 2027; EXPERIENCE:3 years of experience in relevant field",SSC,APPSC Panchayat Secretary Recruitment 2026,20
"The BEL invites online applications from eligible candidates for direct recruitment to 5000 posts of Group-I Officer in Bharat Electronics Limited. Candidates should possess ITI in relevant trade with NCVT certificate. The age of the candidate should be between 21-32 years. Application fee is ₹500. The pay scale for the post is Level-8: ₹47,600-1,51,100. Interested candidates may apply online from 24th November 2026 to 15 April, 2027. The computer based test is tentatively scheduled on 14/07/2027. Required experience: 2 years of experience in relevant field.","ORGANIZATION:BEL; VACANCY_COUNT:5000; POST_NAME:Group-I Officer; QUALIFICATION:ITI in relevant trade with NCVT certificate; AGE_LIMIT:21-32 years; APPLICATION_FEE:₹500; PAY_SCALE:Level-8: ₹47,600-1,51,100; START_DATE:24th November 2026; LAST_DATE:15 April, 2027; EXAM_DATE:14/07/2027; EXPERIENCE:2 years of experience in relevant field",BEL,KVS PGT/TGT/PRT Recruitment 2026,5000
"Andhra Pradesh PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 24/2025

The Andhra Pradesh Public Service Commission (APPSC) invites applications for recruitment to the post of Forest Beat Officer.

Total Vacancies: 150 posts
Educational Qualification: M.Tech in Computer Science/Information Technology
Age: 20-30 years as on 01/07/2025
Fee: ₹100
Pay Scale: Level-8: ₹47,600-1,51,100
Registration Start: 8-Mar-2026
Last Date to Apply: 18.03.2027
Preliminary Exam Date: 11nd February 2026
Experience: Freshers eligible
Selection: Prelims + Mains + Interview","ORGANIZATION:APPSC; POST_NAME:Forest Beat Officer; VACANCY_COUNT:150; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-8: ₹47,600-1,51,100; START_DATE:8-Mar-2026; LAST_DATE:18.03.2027; EXAM_DATE:11nd February 2026; EXPERIENCE:Freshers eligible",APPSC,Indian Navy Agniveer SSR/MR 2026,150
"DRDO Recruitment 2025 - Sorting Assistant

The Defence Research & Development Organisation has announced 1000 vacancies.
Eligible candidates having MBA/PGDM from recognized institute can apply.
Candidates age should not exceed 18-27 years.
Pay: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
Fee: No fee
Apply from: 05/05/2026
Apply before: 11.08.2026
Exam: 18-Oct-2027
Experience required: 5 years of experience in relevant field","ORGANIZATION:DRDO; POST_NAME:Sorting Assistant; VACANCY_COUNT:1000; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:18-27 years; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; APPLICATION_FEE:No fee; START_DATE:05/05/2026; LAST_DATE:11.08.2026; EXAM_DATE:18-Oct-2027; EXPERIENCE:5 years of experience in relevant field",DRDO,ESIC UDC/Stenographer/MTS Recruitment 2026,1000
"Staff Selection Commission
RECRUITMENT OF JUNIOR ANALYST - 2025

SSC invites applications from eligible Indian Citizens for appointment of Junior Analyst in various branches/offices across India.

Vacancies: 50 (including backlog)
Category-wise: UR-20, OBC-13, SC-7, ST-4, EWS-5

Eligibility: Diploma in Engineering (Computer/IT/Electronics/Electrical)
Age on cutoff date: 21-35 years
Fee: No fee + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Level-12: ₹78,800-2,09,200 approximately
Online application: 20-04-2026 to 13-Jan-2027
Online exam: 06-03-2027
Experience: 1 years of experience in relevant field","ORGANIZATION:SSC; POST_NAME:Junior Analyst; VACANCY_COUNT:50; QUALIFICATION:Diploma in Engineering (Computer/IT/Electronics/Electrical); AGE_LIMIT:21-35 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:20-04-2026; LAST_DATE:13-Jan-2027; EXAM_DATE:06-03-2027; EXPERIENCE:1 years of experience in relevant field",SSC,BEL Project Engineer Recruitment 2026,50
"Software Technology Parks of India
RECRUITMENT OF GRADUATE ENGINEER TRAINEE (GET) - 2024

STPI invites applications from eligible Indian Citizens for appointment of Graduate Engineer Trainee (GET) in various branches/offices across India.

Vacancies: 50 (including backlog)
Category-wise: UR-20, OBC-13, SC-7, ST-4, EWS-5

Eligibility: ITI in relevant trade with NCVT certificate
Age on cutoff date: 25-40 years
Fee: ₹250 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: ₹21,700-₹69,100 (7th CPC) approximately
Online application: 8-Jul-2026 to 01 January 2027
Online exam: 22-Dec-2027
Experience: 2 years of experience in relevant field","ORGANIZATION:STPI; POST_NAME:Graduate Engineer Trainee (GET); VACANCY_COUNT:50; QUALIFICATION:ITI in relevant trade with NCVT certificate; AGE_LIMIT:25-40 years; APPLICATION_FEE:₹250; PAY_SCALE:₹21,700-₹69,100 (7th CPC); START_DATE:8-Jul-2026; LAST_DATE:01 January 2027; EXAM_DATE:22-Dec-2027; EXPERIENCE:2 years of experience in relevant field",STPI,IOCL Engineers/Officers through GATE 2026,50
"RBI Recruitment 2024 - Postal Assistant

The Reserve Bank of India has announced 200 vacancies.
Eligible candidates having ITI in relevant trade with NCVT certificate can apply.
Candidates age should not exceed 17.5-21 years.
Pay: ₹44,900-₹1,42,400 (7th CPC)
Fee: ₹1000
Apply from: 18 February 2026
Apply before: 12 October, 2027
Exam: 10-06-2026
Experience required: 2 years of experience in relevant field","ORGANIZATION:RBI; POST_NAME:Postal Assistant; VACANCY_COUNT:200; QUALIFICATION:ITI in relevant trade with NCVT certificate; AGE_LIMIT:17.5-21 years; PAY_SCALE:₹44,900-₹1,42,400 (7th CPC); APPLICATION_FEE:₹1000; START_DATE:18 February 2026; LAST_DATE:12 October, 2027; EXAM_DATE:10-06-2026; EXPERIENCE:2 years of experience in relevant field",RBI,India Post Postal Assistant/SA Recruitment 2026,200
"Notification: ESIC UDC/Stenographer/MTS Recruitment 2026
Issued by: Institute of Banking Personnel Selection
Total posts to be filled: 200
Post name: Specialist Officer (IT)
Required qualification: B.Sc. Nursing from recognized institute
Age criteria: 18-27 years
Exam fee: ₹200
Pay after selection: Level-12: ₹78,800-2,09,200
Important dates - 
  Apply from: 26-Sep-2026
  Apply till: 18-Mar-2026
  Exam on: 22 February 2027
Experience criteria: 3 years of experience in relevant field","VACANCY_COUNT:200; POST_NAME:Specialist Officer (IT); QUALIFICATION:B.Sc. Nursing from recognized institute; AGE_LIMIT:18-27 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:26-Sep-2026; LAST_DATE:18-Mar-2026; EXAM_DATE:22 February 2027; EXPERIENCE:3 years of experience in relevant field",IBPS,ESIC UDC/Stenographer/MTS Recruitment 2026,200
"Notification: Combined Graduate Level Examination (CGL) 2026
Issued by: State Bank of India
Total posts to be filled: 250
Post name: Management Trainee
Required qualification: Any Degree with knowledge of Computer Applications
Age criteria: 17.5-21 years
Exam fee: ₹250
Pay after selection: Level-6: ₹35,400-1,12,400
Important dates - 
  Apply from: 10.10.2026
  Apply till: 22.05.2026
  Exam on: 08/04/2026
Experience criteria: 2 years of experience in relevant field","VACANCY_COUNT:250; POST_NAME:Management Trainee; QUALIFICATION:Any Degree with knowledge of Computer Applications; AGE_LIMIT:17.5-21 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:10.10.2026; LAST_DATE:22.05.2026; EXAM_DATE:08/04/2026; EXPERIENCE:2 years of experience in relevant field",SBI,Combined Graduate Level Examination (CGL) 2026,250
"CSIR Recruitment 2026 - Group-I Officer

The Council of Scientific & Industrial Research has announced 3000 vacancies.
Eligible candidates having Degree in Engineering with 2 years experience can apply.
Candidates age should not exceed 18-25 years.
Pay: ₹21,700-₹69,100 (7th CPC)
Fee: Nil
Apply from: 22-May-2026
Apply before: 28st October 2026
Exam: 18-Dec-2026
Experience required: 5 years of experience in relevant field","ORGANIZATION:CSIR; POST_NAME:Group-I Officer; VACANCY_COUNT:3000; QUALIFICATION:Degree in Engineering with 2 years experience; AGE_LIMIT:18-25 years; PAY_SCALE:₹21,700-₹69,100 (7th CPC); APPLICATION_FEE:Nil; START_DATE:22-May-2026; LAST_DATE:28st October 2026; EXAM_DATE:18-Dec-2026; EXPERIENCE:5 years of experience in relevant field",CSIR,Combined Defence Services Examination (CDS) 2026,3000
